Injury Severity,Latitude,Longitude
No Injury,39.08006167,-77.097845
Minor Injury,39.17523,-77.24109
No Injury,39.066925,-77.154085
No Injury,39.13132667,-77.08323667
No Injury,39.002137,-77.226225
No Injury,39.18446723,-77.2547078
No Injury,39.20123667,-77.13600333
No Injury,39.03968779,-76.99044344
No Injury,39.03556205,-77.02591216
No Injury,39.15657167,-77.26663167
No Injury,39.07335682,-76.95540285
Minor Injury,39.17807,-77.23985167
No Injury,39.07319167,-77.11165333
No Injury,39.07494898,-77.11568647
Serious Injury,39.015898,-76.977678
Minor Injury,38.9667,-77.11141
No Injury,38.9667,-77.11141
Minor Injury,39.05358,-77.13818667
No Injury,39.1175449,-77.1885899
No Injury,39.01249167,-77.13315833
No Injury,39.14210667,-77.19286333
No Injury,39.012285,-77.160135
Minor Injury,39.06633167,-77.020765
No Injury,39.15025775,-77.25101341
No Injury,39.07959,-77.15298333
Minor Injury,39.17807,-77.23985167
Minor Injury,39.0804787,-76.9549879
No Injury,39.10851333,-77.07662833
Minor Injury,39.05358,-77.13818667
No Injury,39.04198667,-77.12334833
No Injury,39.23671878,-77.2897084
No Injury,38.99903203,-77.02620101
Minor Injury,39.11872717,-77.105569
No Injury,39.1725178,-77.20354492
No Injury,39.0804787,-76.9549879
No Injury,39.01655667,-77.11984667
No Injury,39.03556205,-77.02591216
Minor Injury,39.01655667,-77.11984667
No Injury,39.10851333,-77.07662833
No Injury,39.1418864,-77.1902367
No Injury,39.15025775,-77.25101341
No Injury,39.11338685,-77.03694672
No Injury,39.1175449,-77.1885899
No Injury,39.07100667,-76.95424167
No Injury,39.152068,-77.21279617
No Injury,39.18381167,-77.26149167
No Injury,39.07658333,-76.97351333
No Injury,39.17525182,-77.25361113
No Injury,39.10903033,-76.9976475
No Injury,39.18671283,-77.2380865
No Injury,39.04225333,-77.254505
No Injury,39.07916349,-77.08729597
Minor Injury,38.992345,-77.07731333
No Injury,39.1418,-77.21767667
No Injury,39.10903033,-76.9976475
No Injury,39.05175167,-77.0514
No Injury,39.1565953,-77.065941
No Injury,39.15410667,-77.25398333
No Injury,39.07959,-77.15298333
No Injury,39.26454419,-77.22181107
No Injury,39.07335682,-76.95540285
No Injury,39.157775,-77.20400167
Minor Injury,39.1418,-77.21767667
Minor Injury,39.103575,-77.07666667
No Injury,39.04165333,-77.05187667
No Injury,39.04521167,-77.10428833
No Injury,39.18381167,-77.26149167
Minor Injury,39.152068,-77.21279617
Minor Injury,39.08367044,-77.07862324
No Injury,39.012285,-77.160135
No Injury,39.14051833,-77.211825
No Injury,39.20184629,-77.25305357
No Injury,39.14051833,-77.211825
No Injury,39.1565953,-77.065941
No Injury,39.14091333,-77.21547
No Injury,39.15436667,-77.25433
No Injury,39.04521167,-77.10428833
No Injury,39.05297933,-77.07688159
Minor Injury,39.04225333,-77.254505
No Injury,39.11722772,-77.20117968
No Injury,39.0239975,-77.02898
No Injury,39.04165333,-77.05187667
No Injury,39.103575,-77.07666667
No Injury,38.99247667,-77.03628167
No Injury,39.07658333,-76.97351333
No Injury,39.05297933,-77.07688159
No Injury,39.083777,-77.07790617
No Injury,39.01249167,-77.13315833
No Injury,39.11872717,-77.105569
No Injury,39.1725178,-77.20354492
No Injury,39.009975,-77.04091833
No Injury,39.1418864,-77.1902367
